#{"t_start": 1789588070.8804383, "env_id": "None"}
r,l,t
237.512975,72,4058.441455
137.724364,25,4060.239807
223.377034,75,4064.659632
233.658795,85,4069.271073
118.870044,14,4071.582209
157.467617,37,4075.121639
159.545451,39,4077.838689
182.682104,57,4081.149706
123.019039,18,4082.509788
113.012087,13,4084.092527
197.618253,62,4087.833539
200.073647,62,4092.076417
181.466438,53,4095.238766
137.774533,28,4096.816723
121.858034,14,4097.687618
237.30118,88,4102.792668
214.878053,80,4107.677633
194.113287,58,4110.935034
138.0106,28,4112.569149
192.422717,58,4115.880249
156.689663,38,4118.701591
145.740553,31,4120.570658
162.256051,59,4125.87048
125.665892,17,4127.13431
239.685997,92,4132.271966
169.622243,46,4134.964897
159.970922,41,4137.355206
188.752868,54,4140.546431
178.37571,52,4143.745679
173.608102,45,4146.318169
212.634171,70,4150.39807
173.649021,46,4153.037231
193.17247,58,4157.933853
226.697177,93,4163.368022
131.281232,23,4164.699844
188.665968,58,4167.94113
136.353709,108,4175.797584
171.644398,45,4178.550343
156.16759,40,4181.038705
179.366611,53,4183.954999
225.820708,86,4188.886482
161.399871,42,4191.282552
113.450777,47,4194.056747
153.712281,48,4196.886704
198.595632,65,4200.783178
157.821563,39,4204.27177
177.756084,47,4207.387485
176.690429,48,4211.197564
155.426453,40,4214.131894
199.405934,63,4218.414672
157.053965,37,4221.062759
163.068215,42,4223.729594
100.352124,5,4225.095248
119.104318,15,4226.691106
219.868917,29,4228.361199
231.968375,88,4234.658429
143.506097,36,4236.998235
126.556302,30,4238.812239
161.610112,39,4241.123607
136.293061,26,4242.680112
114.494842,13,4243.438258
119.854608,14,4244.25014
185.800951,55,4247.969043
175.495885,47,4251.261274
132.484964,22,4252.719491
195.221797,64,4257.562111
146.798495,29,4259.465536
227.366393,79,4264.805132
163.131314,41,4267.814051
143.29183,35,4269.85827
172.129601,92,4275.136778
136.130405,27,4277.576537
226.156321,81,4281.990623
155.204808,36,4284.474267
207.079693,73,4288.898373
207.750432,66,4293.057938
137.458817,50,4296.959259
172.800082,48,4299.659018
203.890786,65,4304.215634
146.51809,33,4306.236362
126.818264,17,4307.275243
151.484697,35,4309.242097
254.064767,93,4315.283914
221.991621,75,4319.545345
205.830594,68,4323.517924
223.432891,79,4328.557961
190.545667,56,4331.754778
180.321584,50,4336.282031
160.574438,41,4338.631402
172.997623,50,4342.186146
187.590417,55,4345.261779
233.479362,87,4351.451451
222.837149,76,4356.508039
246.274704,95,4362.430078
267.904216,61,4367.816218
154.342829,37,4369.938039
154.77228,35,4371.876888
181.670196,50,4375.214132
160.355395,39,4377.361322
214.570449,69,4381.120048
115.974375,14,4383.233481
136.892701,24,4384.737341
193.393763,32,4388.477623
232.159993,80,4393.575319
223.629193,83,4398.241317
177.625956,49,4401.69266
208.4098,69,4406.404927
236.983601,84,4411.811069
147.04535,29,4413.695174
148.160752,32,4415.566847
176.13744,52,4419.4582
152.119267,34,4421.987952
191.610902,56,4425.747619
141.782202,50,4430.45227
203.624742,66,4434.242441
168.158096,46,4437.488578
154.44404,35,4439.675749
268.453276,81,4444.294936
159.956505,37,4446.967501
174.947741,47,4450.236468
126.439433,20,4451.495723
258.566072,103,4458.050617
215.542669,76,4462.867773
125.399254,19,4464.269179
163.677722,39,4466.626506
228.96163,80,4471.200574
105.213162,6,4471.65368
141.843704,32,4473.621611
174.885237,47,4476.393511
162.139574,38,4478.734453
115.505438,11,4479.390837
227.248405,78,4483.675368
195.417369,65,4487.76408
126.050286,19,4488.879041
160.527394,37,4491.028701
133.053607,21,4492.361096
122.881828,24,4493.879442
150.283105,34,4496.003073
163.457865,44,4498.887863
108.977557,7,4499.73644
199.778316,61,4503.169198
150.688325,33,4505.713935
187.330916,57,4509.157104
169.346348,43,4511.617321
