#{"t_start": 1789588117.2260764, "env_id": "None"}
r,l,t
210.016305,61,3842.816807
160.559825,120,3851.686675
-100.628012,1,3852.3443
162.559119,61,3855.820709
169.485573,161,3867.356565
150.686334,42,3869.844362
204.00409,115,3877.616298
201.939461,114,3884.38208
171.006513,85,3890.902176
155.848124,58,3894.582383
154.096153,75,3900.371391
156.159397,92,3905.880172
-61.541039,59,3910.68738
241.254289,117,3917.664407
104.899527,13,3919.408562
-100.081939,1,3920.313611
-99.871981,1,3920.938668
-69.157413,35,3923.071198
98.433586,149,3933.446047
163.088077,52,3936.570642
110.418665,9,3938.839869
-100.059962,1,3939.636192
-100.085804,1,3939.807419
134.014204,151,3948.377934
166.165434,97,3954.395403
143.266615,75,3958.89808
-26.027142,144,3967.219496
104.637845,14,3968.176208
-100.327033,1,3968.35125
-100.099801,1,3970.435723
-100.082147,1,3972.536774
227.862944,142,3981.900513
184.33195,76,3988.481815
131.580637,43,3991.001238
171.224001,38,3994.747703
187.696929,132,4003.12022
156.283049,58,4007.543833
219.623175,107,4013.811403
149.361798,45,4016.622351
163.747524,64,4020.590111
230.03012,187,4032.748965
188.197907,61,4037.285308
-100.035282,1,4037.599289
133.531871,42,4040.231984
-80.961703,46,4042.967257
188.749463,103,4049.075422
3.55158,67,4054.917603
141.982409,32,4058.239437
167.611944,73,4063.600274
180.198679,93,4069.638453
-100.164997,1,4070.964134
171.195482,62,4074.846236
141.577207,15,4077.436208
148.610485,47,4080.341443
234.822413,134,4088.282704
-100.415521,1,4088.397764
-88.17886,102,4095.8977
131.085763,41,4099.31858
-100.052478,1,4100.288316
-99.927974,1,4102.370326
-100.058107,1,4104.439254
111.925967,20,4107.631204
196.06555,76,4112.634882
207.294055,88,4118.07451
211.442336,169,4127.980919
-71.651374,87,4133.718508
186.513933,60,4137.399291
-67.596367,53,4140.752541
119.076881,15,4141.72991
192.994411,86,4146.676744
188.069521,105,4153.211901
144.097345,101,4159.254152
-39.32811,53,4162.891967
185.569837,95,4168.54416
142.001827,32,4171.429545
-45.563361,110,4177.677362
204.04438,96,4183.633779
135.221516,41,4186.331518
152.627194,47,4189.255975
192.352119,88,4194.789282
-26.889582,99,4200.952025
-99.851343,1,4202.652427
134.11021,49,4206.079198
176.786185,67,4210.639029
174.31782,69,4214.811047
148.947558,44,4217.471861
-13.646811,123,4225.300148
-69.533233,86,4230.347561
161.160724,47,4233.961076
117.225327,33,4236.626198
195.799392,84,4241.551278
188.75338,91,4248.265895
168.593623,80,4252.900907
226.601827,97,4258.464724
56.818849,9,4261.020778
-100.062426,1,4261.881856
16.909326,157,4272.032476
159.29124,93,4277.963879
